Platform ID No.,Platform,Prg No.,Pass dur. (s),Msg Date,Sat.,Alarm,Format name,Loc. date,Longitude,Latitude,Altitude,Heading,Speed,Loc. quality,Frequency,Long. 1,Lat. sol. 1,Long. 2,Lat. sol. 2,Loc. idx,Nopc,Comp.,Msg,> - 120 DB,Best level,Delta freq.,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,SENSOR 01,SENSOR 02,SENSOR 03,SENSOR 04,SENSOR 05,SENSOR 06,SENSOR 07
34407,,6298,238,20-08-2017 07:35:46,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:37:47,27.64746,44.6083,0.046,,,2,401663981.12,27.64746,44.6083,27.64746,44.6083,56,3,1,5,0,-126,663981.1,432,2411,77,103,946,01,3B,A7,9D,8D,0B,B5
34406,,6298,414,20-08-2017 07:35:49,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:38:25,27.63728,44.60065,0.051,,,A,401664003.27,27.63728,44.60065,27.63728,44.60065,6,3,1,3,0,-127,664003.3,563,2379,133,150,1062,01,3B,CE,F4,85,D0,D8
34400,,6298,538,20-08-2017 07:36:05,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:39:54,27.6577,44.60591,0.063,,,1,401663757.83,27.6577,44.60591,27.6577,44.60591,46,3,1,7,0,-124,663757.8,593,697,504,90,240,01,3B,EB,D1,ED,23,B1
34418,,6298,421,20-08-2017 07:36:29,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:39:48,27.6436,44.60911,0.046,,,3,401664034.75,27.6436,44.60911,27.6436,44.60911,56,3,1,6,0,-124,664034.8,237,320,174,121,295,02,C5,15,D2,87,96,76
34406,,6298,414,20-08-2017 07:36:45,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:38:25,27.63728,44.60065,0.051,,,A,401664003.27,27.63728,44.60065,27.63728,44.60065,6,3,1,3,0,-127,664003.3,563,2379,133,150,1062,02,C6,16,D2,82,DF,92
34407,,6298,238,20-08-2017 07:36:50,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:37:47,27.64746,44.6083,0.046,,,2,401663981.12,27.64746,44.6083,27.64746,44.6083,56,3,1,5,0,-126,663981.1,432,2411,77,103,946,02,C9,16,DD,D6,6E,51
34403,,6298,480,20-08-2017 07:36:55,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:40:54,27.64805,44.60784,0.062,,,2,401663645.70,27.64805,44.60784,27.64805,44.60784,56,3,1,6,0,-125,663645.7,306,410,227,6,368,02,C5,16,D1,42,A3,CD
34400,,6298,538,20-08-2017 07:37:05,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:39:54,27.6577,44.60591,0.063,,,1,401663757.83,27.6577,44.60591,27.6577,44.60591,46,3,1,7,0,-124,663757.8,593,697,504,90,240,02,C8,16,DC,90,BC,0C
34418,,6298,421,20-08-2017 07:37:28,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:39:48,27.6436,44.60911,0.046,,,3,401664034.75,27.6436,44.60911,27.6436,44.60911,56,3,1,6,0,-124,664034.8,237,320,174,121,295,03,09,53,59,B3,80,C2
34407,,6298,238,20-08-2017 07:37:48,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:37:47,27.64746,44.6083,0.046,,,2,401663981.12,27.64746,44.6083,27.64746,44.6083,56,3,1,5,0,-126,663981.1,432,2411,77,103,946,03,09,53,59,ED,CB,91
